arxiv_id	authors	author_keys	publisher	date	timestamp
9201020	A.S. Galperin|K.S. Stelle	A_GALPERIN|K_STELLE	Nucl.Phys. B	1992-01-11T17:06:09	695178369
9201021	J. Russo|A.A. Tseytlin	J_RUSSO|A_TSEYTLIN	Nucl.Phys. B	1992-01-11T17:51:00	695181060
9201022	Hiroki Fukutaka	H_FUKUTAKA	None	1992-01-13T12:32:09	695334729
9201023	C.N. Pope	C_POPE	None	1992-01-13T08:52:55	695321575
9201024	H. Aratyn|L.A. Ferreira|J.F. Gomes|A.H. Zimerman	H_ARATYN|L_FERREIRA|J_GOMES|A_ZIMERMAN	Phys.Lett. B	1992-01-13T15:19:46	695344786
9201025	M.Forger|J.Laartz|U.Schaeper	M_FORGER|J_LAARTZ|U_SCHAEPER	Commun. Math. Phys.	1992-01-13T17:22:55-05:00	695352175
9201026	Jean-Loup Gervais|Yutaka Matsuo	J_GERVAIS|Y_MATSUO	Commun.Math.Phys.	1992-01-14T16:30:05	695435405
9201027	J. M. Isidro|J. M. F. Labastida|A. V. Ramallo	J_ISIDRO|J_LABASTIDA|A_RAMALLO	Phys. Lett. B	1992-01-14T13:03:00+00:00	695422980
9201028	Terry Gannon|C.S. Lam	T_GANNON|C_LAM	Phys.Rev. D	1992-01-14T13:41:52-05:00	695425312
9201029	Renata Kallosh	R_KALLOSH	Phys. Lett. B	1992-01-14T23:38:00	695461080
9201030	L.A. Ferreira|J.F. Gomes|R.M. Ricotta|A.H. Zimerman	L_FERREIRA|J_GOMES|R_RICOTTA|A_ZIMERMAN	Int.J.Mod.Phys. A	1992-01-16T11:24:00	695589840
9201031	M.~Ruiz--Altaba	M_RUIZALTABA	Phys. Lett. B	1992-01-16T13:59:58	695599198
9201032	Marcio J. Martins	M_MARTINS	Phys. Lett. B	1992-01-16T15:44:00	695605440
9201033	L. Chekhov|Yu. Makeenko	L_CHEKHOV|Y_MAKEENKO	Mod.Phys.Lett. A	1992-01-16T22:28:00	695629680
9201034	Katsumi Itoh|Nobuyoshi Ohta	K_ITOH|N_OHTA	Prog. Theor. Phys. Suppl.	1992-01-17T16:04:51	695693091
9201035	O. Babelon|M. Talon	O_BABELON|M_TALON	Nucl.Phys. B	1992-01-16T11:31:38+01:00	695590298
9201036	Mordechai Spiegelglas|Shimon Yankielowicz	M_SPIEGELGLAS|S_YANKIELOWICZ	Nucl. Phys. B	1992-01-19T19:46:33	695879193
9201037	Joshua Feinberg	J_FEINBERG	Phys. Lett. B	1992-01-20T14:29:01	695946541
9201038	L. Feher|L. O'Raifeartaigh|P. Ruelle|I. Tsutsui	L_FEHER|L_ORAIFEARTAIGH|P_RUELLE|I_TSUTSUI	None	1992-01-20T22:18:51-05:00	695974731
9201039	I. Jack|D. R. T. Jones|J. Panvel	I_JACK|D_JONES|J_PANVEL	Nucl. Phys. B	1992-01-21T13:52:46+00:00	696030766
9201040	Taichiro Kugo|Barton Zwiebach	T_KUGO|B_ZWIEBACH	Prog.Theor.Phys.	1992-01-21T18:11:00-05:00	696046260
9201041	Ashoke Sen	A_SEN	Nucl. Phys. B	1992-01-22T12:28:00	696112080
9201042	Alberto Carlini|Maurizio Martellini	A_CARLINI|M_MARTELLINI	Phys. Lett. B	1992-01-22T14:39:00	696119940
9201043	Alberto Carlini|Maurizio Martellini	A_CARLINI|M_MARTELLINI	Class. Quant. Grav.	1992-01-22T14:41:00	696120060
9201044	M.A.R. Osorio|M.A. Vazquez-Mozo	M_OSORIO|M_VAZQUEZMOZO	Phys. Lett. B	1992-01-22T15:46:08	696123968
9201045	Ramzi R. Khuri|HoSeong La	R_KHURI|H_LA	Phys.Rev.Lett.	1992-01-22T15:49:30	696124170
9201046	Ramzi R. Khuri|HoSeong La	R_KHURI|H_LA	Phys.Rev. D	1992-01-22T15:57:46	696124666
9201047	18 pages	18 pages	Phys.Lett. B	1992-01-23T16:39:27	696213567
9201048	A.P.Balachandran|G.Bimonte|K.S.Gupta|A.Stern	A_BALACHANDRAN|G_BIMONTE|K_GUPTA|A_STERN	Int. J. Mod. Phys. A	1992-01-23T15:40:26-05:00	696210026
9201049	Eric Smith	E_SMITH	Nucl.Phys. B	1992-01-23T15:36:37	696209797
9201050	H. Lu|C.N. Pope|S. Schrans|K.W. Xu	H_LU|C_POPE|S_SCHRANS|K_XU	Nucl.Phys. B	1992-01-23T18:10:30	696219030
9201051	M. Bordemann|M. Forger|J. Laartz|U. Schaeper	M_BORDEMANN|M_FORGER|J_LAARTZ|U_SCHAEPER	Commun.Math.Phys.	1992-01-23T22:38:35-05:00	696235115
9201052	J. Maharana|S. mukherji	J_MAHARANA|S_MUKHERJI	Phys.Lett. B	1992-01-24T21:53:00	696318780
9201053	S.P. de Alwis	S_ALWIS	Phys. Lett. B	1992-01-24T11:46:05-07:00	696282365
9201054	Michael B. Green	M_GREEN	Phys.Lett. B	1992-01-27T09:24:07+00:00	696533047
9201055	C. Itzykson|J.-B. Zuber	C_ITZYKSON|J_ZUBER	None	1992-01-27T14:43:47	696552227
9201056	Edward Witten|Barton Zwiebach	E_WITTEN|B_ZWIEBACH	Nucl.Phys. B	1992-01-27T21:30:00-05:00	696576600
9201057	C. M. Hull	C_HULL	None	1992-01-28T15:54:40+00:00	696642880
9201058	R.Efraty|V.P.Nair	R_EFRATY|V_NAIR	Phys.Rev.Lett.	1992-01-28T12:58:12-05:00	696632292
9201059	Sidney Coleman|John Preskill|Frank Wilczek	S_COLEMAN|J_PRESKILL|F_WILCZEK	Nucl.Phys. B	1992-01-28T11:05:24-08:00	696625524
9201060	J.M. Lina|P.K. Panigrahi	J_LINA|P_PANIGRAHI	Int.J.Mod.Phys. A	1992-01-28T14:12:50	696636770
9201061	T.Banks|A. Dabolkhar|M.R. Douglas|M. O' Loughlin	T_BANKS|A_DABOLKHAR|M_DOUGLAS|M_LOUGHLIN	Phys.Rev. D	1992-01-28T14:45:03-05:00	696638703
9201062	G. Bimonte|P. Salomonson|A. Simoni|A. Stern	G_BIMONTE|P_SALOMONSON|A_SIMONI|A_STERN	Int. J. Mod. Phys. A	1992-01-28T15:53:53	696642833
9201063	Marc Kamionkowski|John March-Russell	M_KAMIONKOWSKI|J_MARCHRUSSELL	Phys.Rev.Lett.	1992-01-28T17:05:04-05:00	696647104
9201064	J.L.F. Barb\'on	J_BARBON	Int. J. Mod. Phys. A	1992-01-29T03:42:20	696685340
9201065	Yoichiro Matsumura|Norisuke Sakai|Yoshiaki Tanii	Y_MATSUMURA|N_SAKAI|Y_TANII	Nucl. Phys. B	1992-01-29T14:38:42	696724722
9201066	Yoichiro Matsumura|Norisuke Sakai|Yoshiaki Tanii	Y_MATSUMURA|N_SAKAI|Y_TANII	None	1992-01-29T14:39:06	696724746
9201067	G. W. Delius|M.T. Grisaru|D. Zanon	G_DELIUS|M_GRISARU|D_ZANON	Nucl.Phys. B	1992-01-29T13:33:51	696720831
9201068	M. Martellini|M. Spreafico|K. Yoshida	M_MARTELLINI|M_SPREAFICO|K_YOSHIDA	Mod. Phys. Lett. A	1992-01-29T14:10:00	696723000
9201069	M. Martellini|M. Spreafico|K. Yoshida	M_MARTELLINI|M_SPREAFICO|K_YOSHIDA	Mod. Phys. Lett. A	1992-01-29T14:15:00	696723300
9201070	E.Nissimov|S.Pacheva|I.Vaysburd	E_NISSIMOV|S_PACHEVA|I_VAYSBURD	Phys.Lett. B	1992-01-29T17:31:00	696735060
9201071	N. Chair|V.K. Dobrev|H. Kanno	N_CHAIR|V_DOBREV|H_KANNO	Phys.Lett. B	1992-01-29T18:53:00	696739980
9201072	Shamit Kachru	S_KACHRU	Mod. Phys. Lett. A	1992-01-29T21:00:59-05:00	696747659
9201073	Alex Lyons	A_LYONS	None	1992-01-29T14:02:39-07:00	696722559
9201074	J. Russo|L. Susskind|L. Thorlacius	J_RUSSO|L_SUSSKIND|L_THORLACIUS	Phys.Lett. B	1992-01-29T15:07:00	696726420
9201075	K.Amano|S.Higuchi	K_AMANO|S_HIGUCHI	Nucl.Phys. B	1992-01-30T18:52:29	696826349
9201076	Mark Doyle	M_DOYLE	Nucl.Phys. B	1992-01-30T15:57:21-05:00	696815841
9201077	Vl.S.Dotsenko	V_DOTSENKO	Theor.Math.Phys.	1992-01-31T01:41:00+01:00	696850860
9201078	Philip C. Argyres|Keith R. Dienes|S.-H. Henry Tye	P_ARGYRES|K_DIENES|S_TYE	Commun. Math. Phys.	1992-01-30T20:06:12	696830772
9201079	M. Bauer|N. Sochen	M_BAUER|N_SOCHEN	Commun.Math.Phys.	1992-01-31T10:46:33	696883593
9201080	P. Furlan|A. Ch. Ganchev|R. Paunov|V. B. Petkova	P_FURLAN|A_GANCHEV|R_PAUNOV|V_PETKOVA	Nucl.Phys. B	1992-01-31T18:23:00	696910980
9202001	N. Read|G. Moore	N_READ|G_MOORE	Prog.Theor.Phys.Suppl.	1992-02-02T17:44:00-05:00	697081440
9202002	Stephen-wei Chung|S.-H. Henry Tye	S_CHUNG|S_TYE	Phys.Rev. D	1992-02-02T18:35:46-05:00	697084546
9202003	Marc Kamionkowski|John March-Russell	M_KAMIONKOWSKI|J_MARCHRUSSELL	Phys. Lett. B	1992-02-02T18:57:21-05:00	697085841
9202004	S.B. Giddings|A. Strominger	S_GIDDINGS|A_STROMINGER	Phys.Rev. D	1992-02-02T22:56:55-08:00	697100215
9202005	David Gershon	D_GERSHON	Phys.Rev. D	1992-02-03T12:30:16	697149016
9202006	L. Chekhov|Yu. Makeenko	L_CHEKHOV|Y_MAKEENKO	Phys.Lett. B	1992-02-03T18:31:00	697170660
9202007	Philip C. Argyres|James M. Grochocinski|S.-H. Henry Tye	P_ARGYRES|J_GROCHOCINSKI|S_TYE	Nucl. Phys. B	1992-02-03T15:56:56-05:00	697161416
9202008	Petr Horava	P_HORAVA	Nucl.Phys. B	1992-02-03T16:42:30	697164150
9202009	Y. Imamura|M. Sakamoto|T. Sasada|M. Tabuse	Y_IMAMURA|M_SAKAMOTO|T_SASADA|M_TABUSE	Prog. Theor. Phys. Suppl.	1992-02-04T20:47:04	697265224
9202010	G. Nagao	G_NAGAO	Int. J. Mod. Phys. B	1992-02-04T08:35:11	697221311
9202011	P. Fendley|K. Intriligator	P_FENDLEY|K_INTRILIGATOR	Nucl.Phys. B	1992-02-04T16:03:38	697248218
9202012	Satoshi Iso|Dimitra Karabali|B. Sakita	S_ISO|D_KARABALI|B_SAKITA	Nucl.Phys. B	1992-02-04T17:28:50	697253330
9202013	V.Spiridonov	V_SPIRIDONOV	Mod.Phys.Lett. A	1992-02-04T19:33:15	697260795
9202014	C.F.E. Holzhey|F. Wilczek	C_HOLZHEY|F_WILCZEK	Nucl.Phys. B	1992-02-04T20:23:37-05:00	697263817
9202015	Barton Zwiebach	B_ZWIEBACH	Mod. Phys. Lett. A	1992-02-05T00:10:00-05:00	697277400
9202016	Noah Linden|Malcolm Perry	N_LINDEN|M_PERRY	Int.J.Mod.Phys. A	1992-02-05T17:22:34+00:00	697339354
9202017	Sheldon Katz	S_KATZ	None	1992-02-05T12:52:58-05:00	697323178
9202018	Bernd Bruegmann|Rodolfo Gambini|Jorge Pullin	B_BRUEGMANN|R_GAMBINI|J_PULLIN	Nucl.Phys. B	1992-02-05T11:41:37	697318897
9202019	Shahar Ben-Menahem	S_BENMENAHEM	Nucl.Phys. B	1992-02-06T04:19:00	697378740
9202020	F.Ravanini	F_RAVANINI	Phys.Lett. B	1992-02-06T14:51:00	697416660
9202021	Erik Verlinde	E_VERLINDE	Nucl.Phys. B	1992-02-06T12:53:00-05:00	697409580
9202022	Lee Smolin	L_SMOLIN	None	1992-02-06T20:00:00-05:00	697435200
9202023	Richard H. Price|Jorge Pullin	R_PRICE|J_PULLIN	Phys.Rev. D	1992-02-06T19:43:10-07:00	697434190
9202024	Christopher Ting|C. H. Lai	C_TING|C_LAI	Nucl. Phys. B	1992-02-07T11:00:55	697489255
9202025	J.W. van Holten	J_HOLTEN	Int. J. Mod. Phys. A	1992-02-07T14:47:57	697502877
9202026	G. Ferretti|S.G. Rajeev	G_FERRETTI|S_RAJEEV	Mod. Phys. Lett. A	1992-02-07T13:43:00	697498980
9202027	G. Nagao	G_NAGAO	None	1992-02-07T14:17:29	697501049
9202028	Changrim Ahn	C_AHN	Phys.Lett. B	1992-02-07T17:01:49-05:00	697510909
9202029	Alexander Balatsky	A_BALATSKY	None	1992-02-07T17:17:50-07:00	697511870
9202030	L.F. Cugliandolo|G.L. Rossini|F.A. Schaposnik	L_CUGLIANDOLO|G_ROSSINI|F_SCHAPOSNIK	Annals Phys.	1992-02-07T22:44:46	697531486
9202031	S. Mignemi & D.L. Wiltshire	S_WILTSHIRE	Phys. Rev. D	1992-02-08T16:39:23	697595963
9202032	Hidetoshi Awata	H_AWATA	Prog.Theor.Phys.Suppl.	1992-02-10T21:44:15	697787055
9202033	G. Papadopoulos|B. Spence	G_PAPADOPOULOS|B_SPENCE	Phys.Lett. B	1992-02-10T15:28:00	697764480
9202034	Timothy R. Klassen|Ezer Melzer	T_KLASSEN|E_MELZER	Nucl.Phys. B	1992-02-10T23:12:22-05:00	697792342
9202035	Adel Bilal	A_BILAL	Phys. Lett. B	1992-02-11T12:32:39	697840359
9202036	P.S. Howe|G. Papadopoulos	P_HOWE|G_PAPADOPOULOS	Commun.Math.Phys.	1992-02-12T11:52:27+00:00	697924347
9202037	Dieter R. Brill	D_BRILL	Phys.Rev. D	1992-02-12T10:10:00	697918200
9202038	L. F. Cugliandolo|F. A. Schaposnik|H. Vucetich	L_CUGLIANDOLO|F_SCHAPOSNIK|H_VUCETICH	Nucl.Phys. B	1992-02-12T10:16:19	697918579
9202039	Maximilian Kreuzer|Harald Skarke	M_KREUZER|H_SKARKE	Commun.Math.Phys.	1992-02-12T16:41:15	697941675
9202040	Jose M. Figueroa-O'Farrill|Eduardo Ramos	J_FIGUEROAOFARRILL|E_RAMOS	Phys. Lett. B	1992-02-12T17:46:38	697945598
9202041	Michael Lassig	M_LASSIG	None	1992-02-12T21:24:20	697958660
9202042	Marcio J.Martins	M_MARTINS	Phys. Lett. B	1992-02-13T14:25:00	698019900
9202043	H.O. Girotti|M. Gomes|V.O. Rivelles	H_GIROTTI|M_GOMES|V_RIVELLES	Phys.Rev. D	1992-02-13T11:06:29-08:00	698007989
9202045	Amitabha Lahiri	A_LAHIRI	Phys.Lett. B	1992-02-13T13:42:14-07:00	698017334
9202046	Luis E. Ibanez|Dieter Luest	L_IBANEZ|D_LUEST	Nucl.Phys. B	1992-02-14T14:41:49	698107309
9202047	Daniel Altschuler|Antoine Coste	D_ALTSCHULER|A_COSTE	Commun.Math.Phys.	1992-02-14T17:03:16	698115796
9202048	Alexander Moroz	A_MOROZ	None	1992-02-14T18:28:45	698120925
9202049	I.Ya.Aref'eva|A.P.Zubarev	I_AREFEVA|A_ZUBAREV	None	1992-02-14T16:45:11	698114711
9202050	J.D. Cohn|H. Dykstra	J_COHN|H_DYKSTRA	Mod.Phys.Lett. A	1992-02-14T13:11:46	698101906
9202051	"P.~Berglund|B.R.~Greene|T.~H\""ubsch"	P_BERGLUND|B_GREENE|T_HUBSCH	Mod.Phys.Lett. A	1992-02-14T20:57:08	698129828
9202052	A.P.Balachandran|W.D.McGlinn|L.O'Raifeartaigh|S.Sen|R.D.Sorkin|A.M.Srivastava	A_BALACHANDRAN|W_MCGLINN|L_ORAIFEARTAIGH|S_SEN|R_SORKIN|A_SRIVASTAVA	Mod. Phys. Lett. A	1992-02-14T16:07:28	698112448
9202053	Abhay Ashtekar|C.J. Isham	A_ASHTEKAR|C_ISHAM	Class.Quant.Grav.	1992-02-15T14:38:00-05:00	698193480
9202054	Abhay Ashtekar|Carlo Rovelli|Lee Smolin	A_ASHTEKAR|C_ROVELLI|L_SMOLIN	Phys.Rev. D	1992-02-15T15:06:00-05:00	698195160
9202055	A. Mikovic	A_MIKOVIC	None	1992-02-17T12:10:35	698357435
9202056	D.B. Fairlie|J. Govaerts	D_FAIRLIE|J_GOVAERTS	Phys. Lett. B	1992-02-17T17:09:27+00:00	698375367
9202057	Alexios P. Polychronakos	A_POLYCHRONAKOS	Phys.Rev.Lett.	1992-02-17T16:20:35-05:00	698372435
9202058	Katsushi Ito|Jens Ole Madsen	K_ITO|J_MADSEN	Phys. Lett. B	1992-02-18T13:02:00	698446920
9202059	Mary K. Gaillard|T.R. Taylor	M_GAILLARD|T_TAYLOR	Nucl.Phys. B	1992-02-18T09:31:00-05:00	698434260
9202060	H. Lu|C.N. Pope|S. Schrans|X.J. Wang	H_LU|C_POPE|S_SCHRANS|X_WANG	Nucl.Phys. B	1992-02-18T14:51:49	698453509
9202061	P. Bowcock	P_BOWCOCK	Nucl.Phys. B	1992-02-18T18:30:10	698466610
9202062	Michael Wolf|Barton Zwiebach	M_WOLF|B_ZWIEBACH	None	1992-02-18T21:35:00-05:00	698477700
9202063	Abhay Ashtekar|Carlo Rovelli	A_ASHTEKAR|C_ROVELLI	Class. Quant. Grav.	1992-02-18T22:05:00-05:00	698479500
9202064	F. A. Schaposnik	F_SCHAPOSNIK	None	1992-02-19T10:12:57	698523177
9202065	Jean Avan|Antal Jevicki	J_AVAN|A_JEVICKI	Commun. Math. Phys.	1992-02-19T10:56:07-05:00	698525767
9202066	V.G.J. Rodgers	V_RODGERS	Mod.Phys.Lett. A	1992-02-19T15:09:39	698540979
9202067	Mirjam Cvetic	M_CVETIC	None	1992-02-19T16:26:39-05:00	698545599
9202068	R.B. Mann|M.S. Morris|S.F. Ross	R_MANN|M_MORRIS|S_ROSS	Class. Quant. Grav.	1992-02-19T16:28:47-05:00	698545727
9202069	G.W. Delius|M.T. Grisaru|D. Zanon	G_DELIUS|M_GRISARU|D_ZANON	Nucl.Phys. B	1992-02-20T12:54:02	698619242
9202070	H. G. Kausch|G. M. T. Watts	H_KAUSCH|G_WATTS	Nucl.Phys. B	1992-02-20T12:21:00+00:00	698617260
9202071	Giorgio Immirzi	G_IMMIRZI	Class. Quant. Grav.	1992-02-20T14:47:00	698626020
9202072	X. Shen	X_SHEN	Int.J.Mod.Phys. A	1992-02-20T20:37:04	698647024
9202073	Peter G. O. Freund|Anton V. Zabrodin	P_FREUND|A_ZABRODIN	Phys. Lett. B	1992-02-20T15:45:17	698629517
9202074	D. Boulatov	D_BOULATOV	Mod.Phys.Lett. A	1992-02-21T13:02:15	698706135
9202075	Mark Alford|Andrew Strominger	M_ALFORD|A_STROMINGER	Phys.Rev.Lett.	1992-02-21T14:03:00-08:00	698709780
9202076	Lee Smolin	L_SMOLIN	Class. Quant. Grav.	1992-02-22T09:22:00-05:00	698779320
9202077	B. S. Balakrishna|Kameshwar C. Wali	B_BALAKRISHNA|K_WALI	Phys.Rev. D	1992-02-22T10:54:00-05:00	698784840
9202078	Zhu Yang	Z_YANG	None	1992-02-22T14:19:00	698797140
9202079	Abhay Ashtekar|Carlo Rovelli|Lee Smolin	A_ASHTEKAR|C_ROVELLI|L_SMOLIN	J. Geom. Phys.	1992-02-24T00:59:00-05:00	698921940
9202080	Yukihisa Itoh|Yoshiaki Tanii	Y_ITOH|Y_TANII	Phys. Lett. B	1992-02-24T11:14:31	698958871
9202081	Michiaki Takama	M_TAKAMA	Phys. Lett. B	1992-02-24T22:14:22	698998462
9202082	Haye Hinrichsen|Vladimir Rittenberg	H_HINRICHSEN|V_RITTENBERG	None	1992-02-24T17:14:53	698980493
9202083	Makoto Sakamoto|Masayoshi Tabuse	M_SAKAMOTO|M_TABUSE	None	1992-02-25T17:17:31	699067051
9202084	Tsutomu Horiguchi|Makoto Sakamoto|Masayoshi Tabuse	T_HORIGUCHI|M_SAKAMOTO|M_TABUSE	Prog. Theor. Phys. Suppl.	1992-02-25T17:22:23	699067343
9202085	C. Callan|A. Felce|D. Freed	C_CALLAN|A_FELCE|D_FREED	Nucl.Phys. B	1992-02-24T16:27:45-05:00	698977665
9202086	E. Sezgin	E_SEZGIN	None	1992-02-25T19:33:16	699075196
9202087	R. Saroja|A. Sen	R_SAROJA|A_SEN	Phys. Lett. B	1992-02-26T08:30:00	699121800
9202089	E. Abdalla|M.C.B. Abdalla|D. Dalmazi|K. Harada	E_ABDALLA|M_ABDALLA|D_DALMAZI|K_HARADA	Int. J. Mod. Phys. A	1992-02-26T12:05:20-08:00	699134720
9202090	By Matt Visser	B_VISSER	Phys.Rev. D	1992-02-26T14:32:21	699143541
9202092	Paul Ginsparg|Fernando Quevedo	P_GINSPARG|F_QUEVEDO	Nucl.Phys. B	1992-02-29T14:55:00	699404100
9203001	Jack Morse & Rolf Schimmrigk	J_SCHIMMRIGK	Phys.Lett. B	1992-03-01T09:41:04	699471664
9203002	Yoshiaki Tanii|Shun-ichi Yamaguchi	Y_TANII|S_YAMAGUCHI	None	1992-03-02T13:13:06	699570786
9203003	F. Colomo|A. Koubek|G. Mussardo	F_COLOMO|A_KOUBEK|G_MUSSARDO	Phys.Lett. B	1992-03-02T12:06:11	699566771
9203004	A.N. Kirillov|P. Mathieu|D. Senechal|M. Walton	A_KIRILLOV|P_MATHIEU|D_SENECHAL|M_WALTON	Nucl. Phys. B	1992-03-02T13:43:44-05:00	699572624
9203005	K.N. Anagnostopoulos|M. J. Bowick	K_ANAGNOSTOPOULOS|M_BOWICK	None	1992-03-02T18:36:00-05:00	699590160
9203006	Kiyoshi Kamimura|Sinobu Makita|Takeshi Fukuyama	K_KAMIMURA|S_MAKITA|T_FUKUYAMA	Int. J. Mod. Phys. D	1992-03-03T15:21:09	699664869
9203007	Domenico Giulini|Jorma Louko	D_GIULINI|J_LOUKO	Phys.Rev. D	1992-03-03T16:21:00-05:00	699668460
9203008	Amit Giveon|Alfred Shapere	A_GIVEON|A_SHAPERE	Nucl.Phys. B	1992-03-03T18:48:46-05:00	699677326
9203009	J. Ambjorn|L. Chekhov|Yu. Makeenko	J_AMBJORN|L_CHEKHOV|Y_MAKEENKO	Phys.Lett. B	1992-03-04T11:21:00	699736860
9203010	Sudipta Mukherji	S_MUKHERJI	Mod.Phys.Lett. A	1992-03-04T17:50:00	699760200
9203011	Daniel Arnaudon	D_ARNAUDON	None	1992-03-04T18:25:53	699762353
9203012	John Ellis|N.E. Mavromatos|D.V. Nanopoulos	J_ELLIS|N_MAVROMATOS|D_NANOPOULOS	Phys.Lett. B	1992-03-05T12:38:51	699827931
9203013	T.R.Govindarajan|R.Shankar|N.Shaji|M.Sivakumar	T_GOVINDARAJAN|R_SHANKAR|N_SHAJI|M_SIVAKUMAR	Phys.Rev.Lett.	1992-03-02T18:01:58+00:00	699588118
9203014	Lay Nam Chang|Chopin Soo	L_CHANG|C_SOO	Phys.Rev. D	1992-03-06T08:54:17	699900857
9203015	Nicola Maggiore|Paolo Provero	N_MAGGIORE|P_PROVERO	Helv.Phys.Acta	1992-03-06T16:04:39	699926679
9203016	Gary Kleppe|R. P. Woodard	G_KLEPPE|R_WOODARD	Nucl.Phys. B	1992-03-07T13:54:42	700005282
9203017	Jouko Mickelsson	J_MICKELSSON	None	1992-03-07T16:04:00-05:00	700013040
9203018	L. J. Romans	L_ROMANS	Nucl.Phys. B	1992-03-08T13:44:51-08:00	700091091
9203019	S.Dalley	S_DALLEY	Mod. Phys. Lett. A	1992-03-08T22:05:32-05:00	700121132
9203020	J. Laartz	J_LAARTZ	Mod. Phys. Lett. A	1992-03-08T23:07:18-05:00	700124838
9203021	Joaquim Gomis|Hiroshi Suzuki	J_GOMIS|H_SUZUKI	Nucl. Phys. B	1992-03-09T15:03:43	700182223
9203022	Clifford Johnson|Tim Morris|Bill Spence	C_JOHNSON|T_MORRIS|B_SPENCE	Nucl.Phys. B	1992-03-09T09:52:08+00:00	700163528
9203023	G.W. Gibbons|M.E. Ortiz|F. Ruiz Ruiz|T.M. Samols	G_GIBBONS|M_ORTIZ|F_RUIZ|T_SAMOLS	Nucl.Phys. B	1992-03-09T11:55:54	700170954
9203024	H. Lu|C.N. Pope|S. Schrans|X.J. Wang	H_LU|C_POPE|S_SCHRANS|X_WANG	Mod.Phys.Lett. A	1992-03-09T16:38:40	700187920
9203025	J. Lopez|D. Nanopoulos|K. Yuan	J_LOPEZ|D_NANOPOULOS|K_YUAN	Nucl.Phys. B	1992-03-09T17:11:00	700189860
9203026	M. Blau	M_BLAU	J.Geom.Phys.	1992-03-10T15:25:33	700269933
9203027	C.K. Zachos	C_ZACHOS	Mod.Phys.Lett. A	1992-03-10T14:03:15	700264995
9203028	Andrea Pasquinucci	A_PASQUINUCCI	Mod. Phys. Lett. A	1992-03-10T15:26:42-05:00	700270002
9203029	Kurt Haller|Edwin Lombridas	K_HALLER|E_LOMBRIDAS	Phys.Rev. D	1992-03-10T16:52:08-05:00	700275128
9203030	Ivan K. Kostov|Matthias Staudacher	I_KOSTOV|M_STAUDACHER	Nucl.Phys. B	1992-03-10T17:22:23-05:00	700276943
9203031	Petr Horava	P_HORAVA	Phys. Lett. B	1992-03-11T14:18:39	700352319
9203032	Roger Brooks	R_BROOKS	Phys. Lett. B	1992-03-11T17:46:00	700364760
